gene,annotation,source,context
SLC17A7,Pan-excitatory,General glutamatergic marker,"VGLUT1, the canonical glutamatergic gate gene. Confirms a cluster is genuinely excitatory before any layer-specific call is trusted; not layer-informative on its own."
RELN,L2 RELN+,Nilssen et al. 2019; Witter et al. 2017,"Marks the stellate (MEC) / fan+multipolar (LEC) principal cell type in Layer II. This population projects to DG (and likely CA3/CA2) via the perforant path and lacks monosynaptic connections to other principal cells. In your data this is the population Excit.L2_5.2 registers to (Sestan EC.L2.RELN.BMPR1B), not Excit.L2."
PCP4,L2 RELN+,Franjic et al. 2022,Upper-layer marker; co-occurs with RELN/ADARB2 in the Sestan atlas label for Excit.L2_5.2 (EC.L3.PCP4.ADARB2). Useful to confirm the RELN-lineage upper-layer population distinct from the CALB1+ pyramidal type.
ADARB2,L2 RELN+,Sestan/Franjic reference atlas,"Component of the Sestan reference label for Excit.L2_5.2 (EC.L3.PCP4.ADARB2), surfaced via your spatial registration data. Secondary confirmatory marker alongside RELN/PCP4."
BMPR1B,L2 RELN+,Sestan/Franjic reference atlas,"Component of the Sestan reference label for Excit.L2_5.2 (EC.L2.RELN.BMPR1B), surfaced via your spatial registration data. Secondary confirmatory marker for the RELN-lineage L2 population."
CALB1,L2 CALB1+,Nilssen et al. 2019; Witter et al. 2017,"Marks the pyramidal principal cell type in Layer II (both MEC/LEC). Projects broadly to CA1, other EC targets, and commissurally; ~50% also make local excitatory connections within EC. Confirmed as the #4 MeanRatio gene for Excit.L2 in your data, consistent with Sestan label EC.L2.CUX2.CALB1."
CUX2,L2 CALB1+,Franjic et al. 2022,Canonical L2/3 upper-layer marker; forms part of the Sestan label for Excit.L2 (EC.L2.CUX2.CALB1). Good general upper-layer confirmatory marker alongside CALB1.
LAMA3,Upper layer,Franjic et al. 2022,"Upper-layer marker gene, not yet assigned to the RELN vs. CALB1 subtype split specifically. Useful as a general upper-layer (L2/3) confirmatory marker."
PDGFD,Upper layer,Franjic et al. 2022,"Upper-layer marker gene. General L2/3 confirmatory marker, not subtype-resolved."
IL1RAPL2,Upper layer,Franjic et al. 2022,"Upper-layer marker gene. General L2/3 confirmatory marker, not subtype-resolved."
RORB,L5a/Va output,Franjic et al. 2022; Leng et al. 2021,Mid-to-deep layer marker and the specific marker Leng et al. 2021 identified for the selectively vulnerable excitatory population in caudal EC (validated against neurofibrillary tangle burden). Confirmed as the #3 MeanRatio gene for Excit.L5.1 (Sestan EC.L5.RORB.TLL1). Leading candidate marker for a Layer Va-like (output-projecting) identity.
TLL1,L5a/Va output,Sestan/Franjic reference atlas,Component of the Sestan reference label for Excit.L5.1 (EC.L5.RORB.TLL1). Secondary confirmatory marker alongside RORB.
ETV1,L5a/Va output,Nilssen et al. 2019 (rodent),"Rodent Layer Va marker — Va cells are the major output-projecting sublayer, sending axons to diverse cortical/subcortical targets. Not yet checked in your data; testing ETV1 in Excit.L5.1 vs. Excit.L5.2 would help confirm or refute L5.1=Va, L5.2=Vb."
BCL11B,L5b/Vb feedback,Nilssen et al. 2019 (rodent); Sestan atlas,"Human gene symbol for Ctip2, the rodent Layer Vb marker. Vb neurons project back to Va and to Layers II/III — the deep-to-superficial feedback loop. Appears as a component of the Sestan label for Excit.L5.2 (EC.L2.RELN.BCL11B), which may explain why L5.2 clusters transcriptomically near the L2/RELN lineage despite its anatomical Layer V position."
THEMIS,Deep layer (L5/6),Franjic et al. 2022,"Mid-to-deep layer marker, shared across several deep Excit clusters rather than resolving a single sublayer. General deep-layer confirmatory marker."
ADRA1A,Deep layer (L5/6),Franjic et al. 2022,"Mid-to-deep layer marker. General deep-layer confirmatory marker, not sublayer-resolved."
TLE4,Deep layer (L5/6),Franjic et al. 2022,"General deep-layer marker, shared across the Sestan labels for Excit.L5_6_NP, Excit.L6_CT, and Excit.L6b. Confirms deep/infragranular identity broadly but does not by itself distinguish NP vs. CT vs. L6b."
NXPH2,L5/6 NP,Sestan/Franjic reference atlas,"Confirmed as the #4 MeanRatio gene for Excit.L5_6_NP in your data (Sestan EC.L56.TLE4.NXPH2). Commonly used to mark 'near-projecting' deep-layer excitatory subtypes in general cortical literature, though that cross-species convention wasn't independently re-verified here — the atlas registration is the solid evidence."
TSHZ2,L5/6 NP,General cortical NP literature (untested in EC),"Paralog marker often paired with NXPH2 for the near-projecting (NP) subtype in general cortical atlases. Not yet checked in your data or confirmed EC-specific — included as a cross-validation candidate for the Excit.L5_6_NP call, not a confirmed finding."
SULF1,L6 CT,Sestan/Franjic reference atlas,Confirmed as the #5 MeanRatio gene for Excit.L6_CT in your data (Sestan EC.L6.TLE4.SULF1). Currently the strongest direct evidence for this cluster's identity.
FOXP2,L6 CT,General neocortical CT literature (untested in EC),"Classic neocortical corticothalamic (CT) marker. Did NOT appear in either top-10 marker list for Excit.L6_CT, and Nilssen 2019 notes detailed EC Layer VI connectional data is largely lacking. Recommend an explicit expression check — this is a hypothesis to test, not a confirmed EC marker."
SYT6,L6 CT,General neocortical CT literature (untested in EC),"Classic neocortical CT marker, usually paired with FOXP2. Not yet checked in your data — same purpose as FOXP2, would strengthen the L6_CT call if positive."
CPLX3,L6b subplate,Hoerder-Suabedissen & Molnar 2012,Confirmed as the #4 enrichment gene for Excit.L6b. Classic subplate/Layer 6b marker in both mouse and human cortex. Your strongest and best-supported deep-layer call.
CCN2,L6b subplate,Hoerder-Suabedissen & Molnar 2012; Sestan atlas,Also known as CTGF. Paired subplate marker with CPLX3 in the same reference. Appears as a component of the Sestan label for Excit.L6b (EC.L6b.TLE4.CCN2) — you've independently recovered both halves of this classic marker pair from two different statistics.
