gene,subtype,notes
GFAP,Astro.1,Canonical interlaminar marker; interlaminar astrocytes are GFAP-high relative to protoplasmic astrocytes
S100B,Astro.1,Canonical interlaminar marker; co-validate with GFAP
NRG1,Astro.1,Neuregulin ligand for ERBB4 (top hit); co-expression would confirm active NRG1-ERBB4 signaling axis
GPC4,Astro.1,Heparan sulfate proteoglycan secreted by astrocytes to promote synapse formation
GPC6,Astro.1,Heparan sulfate proteoglycan secreted by astrocytes to promote synapse formation
SPARC,Astro.1,Secreted matricellular protein suppressing synapse formation; differentially expressed across cortical layers
TSP1,Astro.1,Thrombospondin synaptogenic factor; enriched in superficial layer astrocytes
TSP2,Astro.1,Thrombospondin synaptogenic factor; enriched in superficial layer astrocytes
ALDH1L1,Astro.1,Pan-astrocyte reference marker; more reliable than GFAP for capturing full astrocyte population
AQP4,Astro.2,Water channel; varicose projection and interlaminar astrocytes show diffuse expression vs. concentrated perivascular polarization in protoplasmic astrocytes
CD44,Astro.2,Marks long-process astrocyte populations (interlaminar and VP) but not protoplasmic; should separate Astro.2 from Astro.1 if Astro.2 is CD44+
DTNA,Astro.2,Dystrobrevin alpha; DAPC component like SNTA1 (top hit); co-enrichment would confirm DAPC-associated identity
FABP7,Astro.2,Fatty acid binding protein 7 (BLBP); lipid chaperone enriched in outer layer astrocytes and transitional/progenitor-like astrocyte states
PTGIS,Astro.2,Prostacyclin synthase; prostaglandin pathway complement to PTGDS (top hit); would further implicate subtype in eicosanoid signaling
BCAS1,Astro.3,Top hit with logFC 2.68; validate at protein level — genuine astrocyte expression would be a novel finding; check for oligodendrocyte contamination
OLIG2,Astro.3,Oligodendrocyte lineage TF; should be absent in bona fide astrocytes; presence suggests contamination or hybrid state
OLIG1,Astro.3,Oligodendrocyte lineage TF; exclusion marker to confirm astrocyte identity of this cluster
SOX10,Astro.3,Oligodendrocyte lineage TF; exclusion marker; any meaningful expression warrants cluster re-examination
MAG,Astro.3,Mature myelin marker; exclusion marker; presence would suggest oligodendrocyte proximity artifact
MBP,Astro.3,Mature myelin marker; exclusion marker; presence would suggest oligodendrocyte proximity artifact
ID3,Astro.3,Transcription factor expressed in white matter-associated and layer VI astrocytes specifically
ID4,Astro.3,Transcription factor expressed in white matter-associated and layer VI astrocytes specifically
HOPX,Astro.3,Expressed in outer radial glia and persists in subset of adult astrocytes in deep cortical positions; good candidate for this zone
NDRG2,Astro.3,Marker of mature protoplasmic astrocytes in deep layers in some datasets
CP,Astro.4,Ceruloplasmin; already top hit with logFC 3.83 (highest in dataset); well-known marker of perivascular astrocytes; validate by IHC co-localizing with vessel markers
KCNJ10,Astro.4,Kir4.1 inwardly rectifying K+ channel; co-localized with AQP4 at endfeet; should be strongly enriched in perivascular subtype
AGRN,Astro.4,Agrin; extracellular matrix protein anchoring DAPC/AQP4 complex to vessel basement membrane; enrichment would confirm endfeet polarization machinery
HTRA1,Astro.4,Serine protease expressed by perivascular astrocytes; implicated in CADASIL and vascular dementia
VEGFA,Astro.4,Astrocyte-derived VEGF produced by perivascular astrocytes to maintain endothelial survival
SLC1A2,Astro.4,EAAT2 glutamate transporter; protoplasmic and perivascular astrocytes are EAAT-high; helps distinguish Astro.4 from CD44+ long-process subtypes
SLC1A3,Astro.4,EAAT1 glutamate transporter; protoplasmic and perivascular astrocytes are EAAT-high; helps distinguish Astro.4 from CD44+ long-process subtypes
TFRC,Astro.4,Transferrin receptor; CP functions in iron loading onto transferrin; co-enrichment would confirm iron metabolism axis at vessel interface
SLC17A7,Astro.5,VGLUT1; directly tests de Ceglia et al. 2023 hypothesis; expression would identify human cortical equivalent of glutamatergic astrocyte subpopulation
SLC17A6,Astro.5,VGLUT2; directly tests de Ceglia et al. 2023 hypothesis; expression would identify human cortical equivalent of glutamatergic astrocyte subpopulation
GAD1,Astro.5,GABAergic synthesis enzyme; check given NECAB1 link to inhibitory interneurons; expression in astrocytes would be remarkable
GAD2,Astro.5,GABAergic synthesis enzyme; check given NECAB1 link to inhibitory interneurons; expression in astrocytes would be remarkable
LHFPL3,Astro.5,Synaptic adhesion protein associated with inhibitory synapse specification; enrichment would support GABAergic synapse-associated identity
LHFPL4,Astro.5,Synaptic adhesion protein associated with inhibitory synapse specification; enrichment would support GABAergic synapse-associated identity
PVALB,Astro.5,Parvalbumin; check whether this inhibitory interneuron marker bleeds into cluster at low levels indicating close physical association or doublets
SST,Astro.5,Somatostatin; check whether this inhibitory interneuron marker bleeds into cluster at low levels indicating close physical association or doublets
SYN1,Astro.5,Synapsin 1; if expressed alongside SYT1 (top hit) would build compelling case for vesicular machinery in these astrocytes
SYN2,Astro.5,Synapsin 2; if expressed alongside SYT1 (top hit) would build compelling case for vesicular machinery in these astrocytes
GRM5,Astro.5,Metabotropic glutamate receptor 5; triggers astrocytic Ca2+ responses; co-enrichment with RYR2 (top hit) would suggest highly reactive calcium signaling phenotype
GRM3,Astro.5,Metabotropic glutamate receptor 3; expressed on astrocytes; enrichment alongside RYR2 would support calcium signaling identity
ITPR2,Astro.5,IP3 receptor 2; primary InsP3 receptor in astrocytes mediating ER calcium release; co-enrichment with RYR2 (top hit) would define dual ER calcium release mechanism
