gene,subtype,expected_astrocyte_expression,contamination_risk,astrocyte_subtype,priority_tier,notes
GFAP,Astro.1,high,none,interlaminar astrocyte,1,Canonical interlaminar marker; interlaminar astrocytes are GFAP-high relative to protoplasmic astrocytes
S100B,Astro.1,high,none,interlaminar astrocyte,1,Canonical interlaminar marker; co-validate with GFAP
NRG1,Astro.1,low,none,interlaminar astrocyte,2,Neuregulin ligand for ERBB4 (top hit); co-expression would confirm active NRG1-ERBB4 signaling axis
GPC4,Astro.1,medium,none,interlaminar astrocyte,2,Heparan sulfate proteoglycan secreted by astrocytes to promote synapse formation
GPC6,Astro.1,low,none,interlaminar astrocyte,3,Heparan sulfate proteoglycan secreted by astrocytes to promote synapse formation
SPARC,Astro.1,medium,none,interlaminar astrocyte,2,Secreted matricellular protein suppressing synapse formation; differentially expressed across cortical layers
TSP1,Astro.1,medium,none,interlaminar astrocyte,2,Thrombospondin synaptogenic factor; enriched in superficial layer astrocytes
TSP2,Astro.1,low,none,interlaminar astrocyte,3,Thrombospondin synaptogenic factor; enriched in superficial layer astrocytes
ALDH1L1,Astro.1,high,none,pan-astrocyte,1,Pan-astrocyte reference marker; more reliable than GFAP for capturing full astrocyte population
AQP4,Astro.2,medium,none,varicose projection astrocyte,1,Water channel; varicose projection and interlaminar astrocytes show diffuse expression vs. concentrated perivascular polarization in protoplasmic astrocytes
CD44,Astro.2,medium,none,varicose projection astrocyte,1,Marks long-process astrocyte populations (interlaminar and VP) but not protoplasmic; should separate Astro.2 from Astro.1 if Astro.2 is CD44+
DTNA,Astro.2,medium,none,varicose projection astrocyte,2,Dystrobrevin alpha; DAPC component like SNTA1 (top hit); co-enrichment would confirm DAPC-associated identity
FABP7,Astro.2,medium,none,varicose projection astrocyte,2,Fatty acid binding protein 7 (BLBP); lipid chaperone enriched in outer layer astrocytes and transitional/progenitor-like astrocyte states
